Date,Symbol,Open,High,Low,Volume From,Volume To,Close
10/28/2016,BTCUSD,680,690.32,679.99,2649.94,1820276.79,688.99
10/29/2016,BTCUSD,688.99,722.21,688.98,1798.51,1281108.95,715.94
10/30/2016,BTCUSD,715.94,715.94,695.23,1017.36,719479.55,700.01
10/31/2016,BTCUSD,700.01,707.7,685.04,3383.23,2380006.8,697.7
11/1/2016,BTCUSD,697.7,736.61,697.7,2299,1665667.03,730.48
11/2/2016,BTCUSD,730.48,734.99,720.04,2628.52,1910849.42,734.99
11/3/2016,BTCUSD,734.99,746.15,674.98,4715.49,3328428.81,685.62
11/4/2016,BTCUSD,685.62,707.83,685.61,3267.99,2280192.11,706.98
11/5/2016,BTCUSD,706.98,711.34,698,582.91,410662.3,706.33
11/6/2016,BTCUSD,706.33,714.91,698.85,1283.33,907878.32,711.15
11/7/2016,BTCUSD,711.15,711.16,701.24,2874.45,2033893.35,709.29
11/8/2016,BTCUSD,709.29,713.99,704.01,3239.73,2302691.86,713.6
11/9/2016,BTCUSD,713.6,739.85,709.68,2677.93,1944232.63,721.48
11/10/2016,BTCUSD,721.48,721.48,705.99,3329.69,2365206.39,710.99
11/11/2016,BTCUSD,710.99,718.07,710.92,1793.94,1279859.46,715.23
11/12/2016,BTCUSD,715.23,715.23,698.99,524.93,369709.82,700.31
11/13/2016,BTCUSD,700.31,704.12,684.46,898.55,622639.13,702
11/14/2016,BTCUSD,702,708.46,696.37,1532.28,1078063.58,707.03
11/15/2016,BTCUSD,707.03,716.85,705.54,2631.77,1878245.25,712.44
11/16/2016,BTCUSD,712.44,742.81,710.36,3462.26,2534527.07,739.99
11/17/2016,BTCUSD,739.99,750,733.5,2782.66,2058291.58,736.03
11/18/2016,BTCUSD,736.03,750,735.61,1207.81,898999.2,748.13
11/19/2016,BTCUSD,748.13,755.5,745,593.62,445035,750.98
11/20/2016,BTCUSD,750.98,751.99,710.03,1434.69,1043439.58,727.36
11/21/2016,BTCUSD,727.36,738.73,725.45,1896.13,1394461.23,737.48
11/22/2016,BTCUSD,737.48,751.67,733.52,4130.47,3072634.53,748.35
11/23/2016,BTCUSD,748.35,748.35,732.18,1796.89,1333425.06,742.41
11/24/2016,BTCUSD,742.41,745.72,728,1528.78,1125495.11,737.99
