Date,Open,High,Low,Close,Volume,Market Cap
15-Sep-15,230.49,259.18,229.82,230.30,19177800.00,3366532054.00
16-Sep-15,230.25,231.21,227.40,229.09,20144200.00,3349613966.00
17-Sep-15,229.08,230.29,228.93,229.81,18935400.00,3360247349.00
18-Sep-15,233.52,234.35,232.18,232.98,20242200.00,3408098085.00
19-Sep-15,232.86,233.21,231.09,231.49,12712600.00,3387141915.00
20-Sep-15,231.40,232.37,230.91,231.21,14444700.00,3383764499.00
21-Sep-15,231.22,231.22,226.52,227.09,19678800.00,3324121324.00
22-Sep-15,226.97,232.39,225.12,230.62,25009300.00,3376737583.00
23-Sep-15,230.94,231.84,229.59,230.28,17254100.00,3372747846.00
24-Sep-15,230.36,235.65,230.29,234.53,25097800.00,3435744312.00
25-Sep-15,234.36,237.43,233.68,235.14,22363600.00,3445723754.00
26-Sep-15,235.08,235.40,233.36,234.34,13724100.00,3434809258.00
27-Sep-15,234.14,234.53,232.48,232.76,14179900.00,3412467834.00
28-Sep-15,232.84,239.34,232.47,239.14,24713000.00,3506933730.00
29-Sep-15,239.02,239.80,235.93,236.69,22691300.00,3471967520.00
30-Sep-15,236.64,237.73,235.63,236.06,19743500.00,3463625759.00
1-Oct-15,236.00,238.45,235.62,237.55,20488800.00,3486370082.00
2-Oct-15,237.26,238.54,236.60,237.29,19677900.00,3483431578.00
3-Oct-15,237.20,239.32,236.94,238.73,16482700.00,3505385987.00
4-Oct-15,238.53,238.97,237.94,238.26,12999000.00,3499387367.00
5-Oct-15,238.15,240.38,237.04,240.38,23335900.00,3531508720.00
6-Oct-15,240.36,246.93,240.14,246.06,27535100.00,3615828118.00
7-Oct-15,246.17,246.68,242.59,242.97,22999200.00,3571170510.00
8-Oct-15,243.07,244.25,242.18,242.30,18515300.00,3562238314.00
9-Oct-15,242.50,244.23,242.12,243.93,17353100.00,3586932176.00
10-Oct-15,243.74,245.32,243.07,244.94,15912700.00,3602763687.00
11-Oct-15,244.74,247.24,244.15,247.05,16827300.00,3634686068.00
12-Oct-15,246.88,247.45,245.18,245.31,17388300.00,3609927997.00
13-Oct-15,245.20,250.24,243.76,249.51,28198500.00,3672589342.00
14-Oct-15,249.49,254.27,248.90,251.99,27462600.00,3710065546.00
15-Oct-15,252.11,255.96,252.05,254.32,25223500.00,3745440578.00
16-Oct-15,254.30,266.14,253.93,262.87,35901500.00,3872283809.00
17-Oct-15,262.75,273.58,262.37,270.64,43199600.00,3987684186.00
18-Oct-15,270.91,271.67,260.78,261.64,22434300.00,3856061829.00
19-Oct-15,261.86,264.82,260.95,263.44,25258800.00,3883581668.00
20-Oct-15,263.57,270.83,263.23,269.46,30889800.00,3973292564.00
21-Oct-15,269.31,270.77,263.84,266.27,25637300.00,3927192474.00
22-Oct-15,266.50,276.51,266.14,274.02,37808600.00,4042524308.00
23-Oct-15,273.65,278.68,273.54,276.50,29442500.00,4080023363.00
24-Oct-15,276.50,281.71,276.50,281.65,25942400.00,4157184875.00
25-Oct-15,281.45,294.06,281.45,283.68,45717100.00,4188180600.00
26-Oct-15,283.63,285.30,280.51,285.30,32108800.00,4213260473.00
27-Oct-15,285.18,296.21,285.01,293.79,46331800.00,4339689442.00
28-Oct-15,293.70,306.33,293.70,304.62,50808100.00,4500730950.00
29-Oct-15,304.32,318.17,301.82,313.86,64495900.00,4638392428.00
30-Oct-15,313.94,334.17,313.94,328.02,78305000.00,4849062146.00
31-Oct-15,328.51,332.78,309.25,314.17,48598100.00,4645486246.00
1-Nov-15,315.01,327.47,311.88,325.43,37001100.00,4813287206.00
2-Nov-15,325.94,365.36,323.21,361.19,101918000.00,5343556482.00
3-Nov-15,361.87,417.90,357.65,403.42,206162000.00,5969855535.00
4-Nov-15,403.66,495.56,380.55,411.56,263900000.00,6092006971.00
5-Nov-15,408.08,447.56,374.58,386.35,151824992.00,5720251077.00
6-Nov-15,388.05,395.84,354.02,374.47,122687000.00,5545657295.00
7-Nov-15,374.27,390.59,372.43,386.48,56625100.00,5725035162.00
8-Nov-15,384.28,389.89,368.70,373.37,51817600.00,5532072311.00
