Symbol,Date,Open,High,Low,Close,Volume
ENGRO,06-Nov-2008,180.44,180.44,180.44,180.44,500
ENGRO,16-Dec-2008,161.05,161.05,161.05,161.05,100
ENGRO,19-Dec-2008,138.09,138.09,138.09,138.09,100
ENGRO,22-Dec-2008,131.19,131.19,131.19,131.19,100
ENGRO,23-Dec-2008,124.64,124.64,124.64,124.64,100
ENGRO,24-Dec-2008,118.41,118.41,118.41,118.41,100
ENGRO,26-Dec-2008,112.49,112.49,112.49,112.49,3800
ENGRO,29-Dec-2008,106.87,107.70,106.87,106.87,1718800
ENGRO,30-Dec-2008,101.53,101.53,101.53,101.53,60500
ENGRO,31-Dec-2008,96.46,98.75,96.46,96.46,1191600
ENGRO,01-Jan-2009,93.00,97.00,93.00,94.50,1553300
ENGRO,02-Jan-2009,96.50,101.06,96.40,101.06,2434300
ENGRO,05-Jan-2009,103.50,106.10,103.10,106.10,1263200
ENGRO,06-Jan-2009,111.40,111.40,111.40,111.40,270600
ENGRO,09-Jan-2009,116.97,116.97,116.97,116.97,778300
ENGRO,12-Jan-2009,122.81,122.81,112.51,122.81,3856700
ENGRO,13-Jan-2009,123.65,128.94,118.50,128.40,3086500
ENGRO,14-Jan-2009,129.00,134.93,127.50,134.93,3260600
ENGRO,15-Jan-2009,134.45,137.80,128.03,128.03,3676100
ENGRO,16-Jan-2009,125.00,125.45,121.63,121.63,565500
ENGRO,19-Jan-2009,115.55,118.70,115.55,115.55,1094000
ENGRO,20-Jan-2009,113.00,121.32,112.55,121.32,1894300
ENGRO,21-Jan-2009,125.50,127.38,115.26,115.26,2428400
ENGRO,22-Jan-2009,109.50,109.50,109.50,109.50,52100
ENGRO,23-Jan-2009,104.03,104.03,104.03,104.03,36500
ENGRO,26-Jan-2009,98.83,103.00,98.83,98.83,1774000
ENGRO,27-Jan-2009,95.10,103.77,94.60,103.77,2464300
ENGRO,28-Jan-2009,106.00,108.90,106.00,108.90,330600
ENGRO,29-Jan-2009,114.34,114.34,108.00,114.34,2448100
ENGRO,30-Jan-2009,116.50,120.05,116.10,120.05,888900
ENGRO,02-Feb-2009,121.95,125.00,118.15,118.52,2639800
ENGRO,03-Feb-2009,118.00,120.45,114.00,115.00,1360100
ENGRO,04-Feb-2009,116.30,121.00,116.30,118.50,1847600
ENGRO,06-Feb-2009,119.48,123.40,118.10,120.75,919200
ENGRO,09-Feb-2009,122.00,122.00,114.63,114.63,845100
ENGRO,10-Feb-2009,112.50,113.95,110.10,111.50,487700
ENGRO,11-Feb-2009,111.03,115.60,110.00,115.00,581700
ENGRO,12-Feb-2009,97.00,99.22,97.00,99.22,246200
ENGRO,13-Feb-2009,102.50,104.18,101.80,104.18,1348800
ENGRO,16-Feb-2009,106.49,109.38,105.00,109.38,1719800
ENGRO,17-Feb-2009,111.00,114.84,108.20,112.50,3085600
ENGRO,18-Feb-2009,112.75,119.10,112.31,119.10,4002100
ENGRO,19-Feb-2009,121.00,125.05,120.75,125.05,2681200
ENGRO,20-Feb-2009,126.50,127.50,118.59,118.59,2124300
ENGRO,23-Feb-2009,115.60,116.50,112.67,115.00,2482700
ENGRO,24-Feb-2009,114.01,118.49,113.06,114.22,1582600
ENGRO,25-Feb-2009,115.00,116.95,108.78,108.78,1055500
ENGRO,26-Feb-2009,104.25,112.00,103.35,108.31,4023800
ENGRO,27-Feb-2009,109.50,111.10,107.50,108.30,857900
ENGRO,02-Mar-2009,109.90,111.99,107.10,108.40,1863700
ENGRO,03-Mar-2009,107.10,108.00,103.51,107.80,1871100
ENGRO,04-Mar-2009,108.40,112.74,108.20,112.74,2357100
ENGRO,05-Mar-2009,114.49,117.50,112.80,115.38,4873100
ENGRO,06-Mar-2009,115.51,116.50,110.45,110.45,2597700
ENGRO,09-Mar-2009,110.85,110.85,108.26,109.42,546000
ENGRO,11-Mar-2009,108.70,110.15,105.50,105.50,747000
ENGRO,12-Mar-2009,107.00,111.10,106.11,110.98,2199800
ENGRO,13-Mar-2009,110.90,115.40,109.35,114.25,3021500
ENGRO,16-Mar-2009,120.04,120.04,119.10,120.04,1605400
ENGRO,17-Mar-2009,121.45,126.04,119.75,125.80,5851700
ENGRO,18-Mar-2009,126.00,131.70,123.20,131.68,5942000
ENGRO,19-Mar-2009,133.50,135.50,130.00,132.60,7767900
ENGRO,20-Mar-2009,134.00,138.10,127.14,127.50,6586500
ENGRO,24-Mar-2009,130.98,134.21,130.50,134.21,3058900
ENGRO,25-Mar-2009,137.00,139.25,133.35,134.50,4990400
ENGRO,26-Mar-2009,137.00,137.00,130.86,131.99,2839400
ENGRO,27-Mar-2009,133.10,136.35,132.80,136.01,3126700
ENGRO,30-Mar-2009,138.50,141.84,136.10,141.39,4332900
ENGRO,31-Mar-2009,141.00,147.86,138.25,145.11,9573300
ENGRO,01-Apr-2009,149.00,151.88,147.55,151.88,4814700
ENGRO,02-Apr-2009,158.70,158.70,152.80,153.80,6969300
ENGRO,03-Apr-2009,155.50,159.55,152.01,155.30,8523400
ENGRO,06-Apr-2009,154.00,155.50,152.26,153.70,3521000
ENGRO,07-Apr-2009,154.70,159.20,154.70,156.90,7658700
ENGRO,08-Apr-2009,154.00,155.48,149.03,149.03,3040200
